changed	M:MedDBase.Application.Core.Services.IHealthcodeService.GetDefaultSettingForInvoice(System.Int32)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	472
changed	M:MedDBase.Application.Core.Services.IHealthcodeService.GetDefaultClaimSourceForInvoice(System.Int32)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	477
changed	M:MedDBase.Application.Core.Services.IHealthcodeService.GetPotentialPayeesForInvoice(System.Int32)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	482
changed	M:MedDBase.Application.Core.Services.IHealthcodeService.GetHealthcodeStatusDisplayName(MedDBase.Application.Core.Services.HealthcodeStatus)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	488
changed	M:MedDBase.Application.Core.Services.IHealthcodeService.AddInvoiceToClaimQueue(System.Int32,MedDBase.Application.Core.Services.InvoiceHealthcodeSettings)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	495
changed	M:MedDBase.Application.Core.Services.IHealthcodeService.FindControllerForInvoice(System.Int32,SD.LLBLGen.Pro.ORMSupportClasses.ITransaction)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Core.Interfaces\Services\IHealthcodeService.cs	501
changed	M:MedDBase.Application.Workflows.InvoiceDebtChase.HealthcodeSettings.#ctor	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Workflows\InvoiceDebtChase\Healthcode\HealthcodeSettings.cs	13
changed	M:MedDBase.Application.Workflows.InvoiceDebtChase.HealthcodeSettings.get_ValidCuidPrefix	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Workflows\InvoiceDebtChase\Healthcode\HealthcodeSettings.cs	39
changed	M:MedDBase.Application.Workflows.InvoiceDebtChase.HealthcodeSettings.set_ValidCuidPrefix(LanguageExt.Option{System.Int32})	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Workflows\InvoiceDebtChase\Healthcode\HealthcodeSettings.cs	40
changed	M:MedDBase.Application.Workflows.InvoiceDebtChase.HealthcodeSettings.OnDeserialised(SD.LLBLGen.Pro.ORMSupportClasses.ITransaction)	C:\Git\meddbase-main-application-2\src\main\MedDBase.Application.Workflows\InvoiceDebtChase\Healthcode\HealthcodeSettings.cs	43
